scenario_id,sampling_mode,partition,seed_index,seed,composition_regime
S2-A,non_unique,test,17,4699521,dominant_plus_15pp
S2-A,non_unique,test,18,4699522,dominant_plus_15pp
S2-A,non_unique,test,19,4699523,dominant_plus_15pp
S2-A,non_unique,test,20,4699524,dominant_minus_15pp
S2-A,non_unique,test,21,4699525,dominant_minus_15pp
S2-A,non_unique,test,22,4699526,dominant_minus_15pp
S2-A,non_unique,test,23,4699527,dominant_minus_15pp
S2-A,non_unique,test,24,4699528,dominant_minus_15pp
S2-A,non_unique,test,25,4699529,dominant_minus_15pp
S2-A,non_unique,test,26,4699530,dominant_minus_15pp
S2-A,non_unique,test,27,4699531,dominant_minus_15pp
S2-A,non_unique,test,28,4699532,dominant_minus_15pp
S2-A,non_unique,test,29,4699533,dominant_minus_15pp
S2-B,unique,train,,5630000,fixed
S2-B,unique,validation,,5632000,fixed
S2-B,unique,test,0,6678152,nominal
S2-B,unique,test,1,6678153,nominal
S2-B,unique,test,2,6678154,nominal
S2-B,unique,test,3,6678155,nominal
S2-B,unique,test,4,6678156,nominal
S2-B,unique,test,5,6678157,nominal
S2-B,unique,test,6,6678158,nominal
S2-B,unique,test,7,6678159,nominal
S2-B,unique,test,8,6678160,nominal
S2-B,unique,test,9,6678161,nominal
S2-B,unique,test,10,6678162,dominant_plus_15pp
S2-B,unique,test,11,6678163,dominant_plus_15pp
S2-B,unique,test,12,6678164,dominant_plus_15pp
S2-B,unique,test,13,6678165,dominant_plus_15pp
S2-B,unique,test,14,6678166,dominant_plus_15pp
S2-B,unique,test,15,6678167,dominant_plus_15pp
S2-B,unique,test,16,6678168,dominant_plus_15pp
S2-B,unique,test,17,6678169,dominant_plus_15pp
S2-B,unique,test,18,6678170,dominant_plus_15pp
S2-B,unique,test,19,6678171,dominant_plus_15pp
S2-B,unique,test,20,6678172,dominant_minus_15pp
S2-B,unique,test,21,6678173,dominant_minus_15pp
S2-B,unique,test,22,6678174,dominant_minus_15pp
S2-B,unique,test,23,6678175,dominant_minus_15pp
S2-B,unique,test,24,6678176,dominant_minus_15pp
S2-B,unique,test,25,6678177,dominant_minus_15pp
S2-B,unique,test,26,6678178,dominant_minus_15pp
